Дата;Цена
20.08.2019;231.54
19.08.2019;226.80
16.08.2019;224.71
15.08.2019;227.15
14.08.2019;227.10
13.08.2019;229.87
12.08.2019;230.24
09.08.2019;229.96
08.08.2019;231.21
07.08.2019;227.67
06.08.2019;226.76
05.08.2019;223.61
02.08.2019;227.91
01.08.2019;234.28
31.07.2019;236.90
30.07.2019;237.10
29.07.2019;236.73
26.07.2019;234.23
25.07.2019;219.00
24.07.2019;212.00
23.07.2019;217.39
22.07.2019;217.12
19.07.2019;216.00
18.07.2019;218.30
17.07.2019;220.19
16.07.2019;238.01
15.07.2019;240.30
12.07.2019;245.50
11.07.2019;247.20
10.07.2019;250.21
09.07.2019;250.17
08.07.2019;248.51
05.07.2019;250.89
04.07.2019;255.35
03.07.2019;251.60
02.07.2019;246.65
01.07.2019;245.50
28.06.2019;232.83
27.06.2019;232.60
26.06.2019;233.10
25.06.2019;232.09
24.06.2019;232.38
21.06.2019;229.09
20.06.2019;232.52
19.06.2019;232.46
18.06.2019;232.13
17.06.2019;229.81
14.06.2019;231.51
13.06.2019;234.44
11.06.2019;234.86
10.06.2019;232.10
07.06.2019;230.50
06.06.2019;231.45
05.06.2019;230.01
04.06.2019;230.16
03.06.2019;235.51
31.05.2019;215.10
30.05.2019;213.10
29.05.2019;207.14
28.05.2019;203.13
27.05.2019;206.20
24.05.2019;204.50
23.05.2019;208.86
22.05.2019;208.10
21.05.2019;207.80
20.05.2019;200.80
17.05.2019;198.89
16.05.2019;202.70
15.05.2019;195.61
14.05.2019;189.67
13.05.2019;163.00
10.05.2019;163.61
08.05.2019;163.57
07.05.2019;164.21
06.05.2019;165.45
03.05.2019;166.31
02.05.2019;165.71
30.04.2019;163.95
29.04.2019;163.93
26.04.2019;161.00
25.04.2019;159.31
24.04.2019;160.57
23.04.2019;162.42
22.04.2019;163.50
19.04.2019;162.57
18.04.2019;161.79
17.04.2019;164.00
16.04.2019;162.24
15.04.2019;158.33
12.04.2019;159.12
11.04.2019;158.04
10.04.2019;162.88
09.04.2019;162.70
08.04.2019;160.50
05.04.2019;158.60
04.04.2019;158.89
03.04.2019;156.99
02.04.2019;155.00
01.04.2019;154.53
29.03.2019;149.61
28.03.2019;149.98
27.03.2019;149.49
26.03.2019;151.12
25.03.2019;152.29
22.03.2019;152.29
21.03.2019;155.33
20.03.2019;156.09
19.03.2019;155.50
18.03.2019;155.84
15.03.2019;154.56
14.03.2019;152.68
13.03.2019;153.30
12.03.2019;151.64
11.03.2019;151.60
07.03.2019;151.90
06.03.2019;154.20
05.03.2019;153.20
04.03.2019;154.40
01.03.2019;156.71
28.02.2019;158.99
27.02.2019;156.40
26.02.2019;155.36
25.02.2019;154.60
22.02.2019;154.64
21.02.2019;153.50
20.02.2019;154.43
19.02.2019;154.03
18.02.2019;156.43
15.02.2019;159.04
14.02.2019;155.15
13.02.2019;159.27
12.02.2019;163.68
11.02.2019;161.29
08.02.2019;159.80
07.02.2019;160.39
06.02.2019;163.21
05.02.2019;164.25
04.02.2019;163.20
01.02.2019;163.33
31.01.2019;162.82
30.01.2019;165.40
29.01.2019;162.95
28.01.2019;160.56
25.01.2019;162.82
24.01.2019;160.90
23.01.2019;159.90
22.01.2019;158.50
21.01.2019;158.30
18.01.2019;159.20
17.01.2019;157.10
16.01.2019;156.90
15.01.2019;158.15
14.01.2019;160.48
